,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
11,2016,illinois_de witt,4.17312,1.9031672673007605,1.7999715125711837,1.586989021143094,1.9757310420444565,3.213676303343737,3.2303036387765487,0.0263251327789618
52,2016,illinois_logan,4.47552,1.508771821998218,1.4009429919794592,0.843238800849706,1.139514659764554,2.0566401457510333,1.8940077259208123,0.0058571535595829
92,2016,illinois_macon,4.58304,1.178152270888232,1.1224790684330896,0.7453614406289003,0.9313457241511728,1.708549754386206,1.5153327919761226,0.0174152633023025
134,2016,illinois_marshall,4.25376,0.5490396877706885,0.0508558701146443,-0.0817020551418078,0.4393452540404891,1.8251839144419155,1.8991150490775688,0.0085770189498512
175,2016,illinois_mason,3.97824,-0.7660088178857387,-0.9891842174898876,-1.3607950056031246,-0.9666186735480108,1.1960313629997763,1.434710634743445,0.43109066326878
216,2016,illinois_mclean,4.28736,2.0497127216054567,1.9954943429812944,1.9413247608137525,2.3533450302500807,3.552656483176435,3.5272166420696727,0.0024589797469486
257,2016,illinois_menard,4.27392,0.4417109757674495,0.1814348548164811,-0.7682957644751948,-0.5397547146757833,1.1069130238283449,0.973740249645088,0.0207396046353101
299,2016,illinois_peoria,4.032,0.0015387343493295,-0.2812069534318662,-0.6036752856356505,-0.1420695302622784,1.4063974048971375,1.5713234972148225,0.0091932125293518
341,2016,illinois_stark,4.38144,0.3572409281346083,-0.1531293140129155,-0.2923672242598392,0.0437953340923912,1.5452282866511322,1.786572761203135,0.0308342236721445
382,2016,illinois_tazewell,4.367999999999999,1.350667250227106,1.1564380133039132,0.5676809198259732,0.9774761923650978,2.542494538823174,2.7124756701276262,0.0926210344886431
424,2016,illinois_woodford,4.5024,0.8875144960712734,0.501844053740275,-0.5643590228130486,0.1301914165006683,1.9246656085907008,2.2690213849931333,0.0194303307115829
466,2016,illinois_champaign,4.54944,1.4402239891474795,1.2844443220184407,1.2306108039058097,1.4746494068539258,2.55105216276234,2.605384344113846,0.0193941577351466
508,2016,illinois_ford,4.0656,1.8241940119792024,1.6946808028196,1.5843790630440335,1.9404088005846896,3.4127339182535525,3.5008414108715846,0.0013464661384167
550,2016,illinois_iroquois,3.97152,2.749806248778052,2.4708335776277672,2.255562561136543,2.7976792512725006,4.555812161222967,4.544854726535032,0.0024493733884583
592,2016,illinois_kankakee,3.74976,2.046302272753336,1.783127351659312,1.299918476901784,1.6837539378857027,3.48920249998823,3.903925054296427,0.0294586114075466
634,2016,illinois_livingston,4.07232,1.616911177526938,1.434604559569663,1.5656163846345208,2.167136031495622,3.8493748092530606,4.0827326332148415,0.0081949182858095
