,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,EVI_Dough,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
958,2012,illinois_douglas,6.234269792800001,-2.5306374810625663,-2.7898159579312325,-4.268430961490619,0.5045371301250959,-5.542296024386886,-6.344200545114747,-6.601604956815738,-5.959595908947378,0.0522758100712867
999,2012,illinois_edgar,6.064928460400001,-1.430408229028122,-1.669582397486856,-3.260884048391968,0.5001535243949417,-4.683510822047368,-5.564548249095567,-5.836724908904006,-5.381947373444402,0.0522758100712867
1040,2012,illinois_effingham,2.6906456148,-0.0333165251723471,-0.6359133201313675,-2.4169605327550583,0.4492239820709538,-3.653373036687796,-4.384385120419656,-4.573368958318316,-3.7089023721222936,0.0522758100712867
1082,2012,illinois_fayette,1.8376670516,-0.5838791543792989,-0.8101299057812646,-2.364064175314592,0.4410440343520699,-3.632421337511156,-4.330423687051611,-4.424570386578253,-3.32572758973476,0.0522758100712867
1123,2012,illinois_jasper,1.8125794468,0.5400954093155724,-0.4805561470899279,-2.650133560202792,0.4550559146353148,-3.895780285775725,-4.631195981344946,-4.886350694384725,-4.238893579018545,0.0522758100712867
1203,2012,illinois_marion,1.191661228,0.0537499906593648,-0.2711924672370634,-2.1146522445805527,0.3907142984970138,-3.436476324712544,-4.283674144842419,-4.565615388666694,-3.6354719336730064,0.0522758100712867
1245,2012,illinois_moultrie,7.2189582812,-2.781978207696309,-2.949750668968987,-4.345161595879535,0.5006172314450449,-5.608718071681474,-6.366228909697705,-6.60057935741384,-5.894916169982907,0.0522758100712867
1287,2012,illinois_richland,1.6620538180000002,1.050920043958656,0.5259268464210753,-2.677197620293966,0.3811646221851812,-3.933339300530138,-4.712970538839651,-5.03688805466652,-4.371248716706936,0.0522758100712867
1327,2012,illinois_shelby,4.5408564688,-1.938963660199927,-2.0181492616739978,-3.405692236735004,0.4523503248180102,-4.675391878249443,-5.358383157341152,-5.481657660044803,-4.639192403414769,0.0522758100712867
1437,2012,illinois_de kalb,9.991138611600002,-1.32877051832636,-1.4979213175912485,-2.9943536677541323,0.6059983378776616,-3.95390748862634,-4.488631416176066,-4.929031060722078,-5.551846276782931,0.0522758100712867
1479,2012,illinois_grundy,6.3408921132,-2.3472061961555704,-2.61670451741818,-3.52543450657838,0.546676047296012,-4.455990995374125,-5.058572684748647,-5.39467568836453,-5.403227358521921,0.0522758100712867
1521,2012,illinois_kane,8.8245649884,-0.3692613683712943,-0.7544715316533166,-2.534393107460473,0.5255270203643861,-3.533568121707729,-4.059270167643948,-4.478670392042022,-5.175574225521491,0.0522758100712867
1563,2012,illinois_kendall,6.422426828800001,-1.502928322453693,-1.7453488451388168,-3.0064118320618034,0.514837990931878,-3.945409908887891,-4.474240912887462,-4.755343891351351,-5.055594464417333,0.0522758100712867
1603,2012,illinois_la salle,8.454522817600001,-2.020156330118625,-2.222833499709104,-3.3191114274192706,0.5916178867832378,-4.290532127546562,-4.87888710031862,-5.226686889172253,-5.272661715145332,0.0522758100712867
1681,2012,illinois_mchenry,7.802245092800001,-1.3293128045731195,-1.3905322254240808,-2.822882150306138,0.5261882032055266,-3.949936213452913,-4.477730478214176,-4.921560304731681,-5.6511006565149815,0.0522758100712867
1721,2012,illinois_will,7.902595512,-1.3442922041272478,-1.7063715544576306,-2.676538477915451,0.5379870324243837,-3.4506289206722496,-3.939628165740002,-4.22204392042838,-4.442577178847998,0.0522758100712867
1761,2012,illinois_bureau,9.1381600484,-1.9406525698269848,-2.1060546049563857,-3.254250678304948,0.5921243289628665,-4.217288126693682,-4.760577151798337,-5.042616029049597,-5.041503369324062,0.0522758100712867
1803,2012,illinois_carroll,9.9033319948,-1.6038233458230566,-1.6392280921143954,-3.0313768146835054,0.6309834920974859,-4.244874302440371,-4.884963633817998,-5.222160562242262,-5.756093474986872,0.0522758100712867
1845,2012,illinois_henry,8.780661680000001,-2.4226316641036,-2.48099339419723,-3.344207811566264,0.5754355782325065,-4.260723323559708,-4.848158760060738,-5.150138345567368,-5.09007370766654,0.0522758100712867
1887,2012,illinois_jo daviess,6.108831768800001,-1.9148753983708924,-2.110309382101207,-3.600795045426832,0.5265500737544445,-5.013328874691159,-5.712460203036596,-6.100626647219779,-6.65750097817551,0.0522758100712867
1929,2012,illinois_lee,8.924915407600002,-2.008117214719365,-2.1869868584939427,-3.5725979821649787,0.603085582660313,-4.540882368693407,-5.07247662252364,-5.376983615988614,-5.673728803460101,0.0522758100712867
1971,2012,illinois_mercer,11.2956940612,-3.602736308938379,-3.574382876861852,-4.045387006643367,0.6382988403679013,-4.657175568505153,-5.174216351254618,-5.421499104168436,-5.275579899266838,0.0522758100712867
2012,2012,illinois_ogle,8.962546814800001,-1.686638460603338,-1.8049582467242165,-3.3003883657054374,0.5787843077800914,-4.400307179397298,-4.95199093213836,-5.327833770190044,-5.899941897091832,0.0522758100712867
2134,2012,illinois_stephenson,6.4475144336,-2.1207553329129816,-2.256213925504644,-3.7393267578072553,0.5335267937430899,-5.059609700882106,-5.688792791749263,-6.06902623912233,-6.642874730396167,0.0522758100712867
