,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
11,2016,illinois_de witt,13.453228074,1.7973748048392433,1.8423212745922808,1.4610432283119823,1.921367189907149,2.29219871065388,2.954343659994604,3.1436570047540866,0.007464704291911
52,2016,illinois_logan,13.7605512328,1.5962966413946504,1.5615548724122206,0.912092859787648,1.25417685246287,1.599851702858654,2.1536347515499603,2.2377185361400374,0.0096952117758567
94,2016,illinois_macon,13.4783156788,1.1457132375767545,1.1917471209868271,0.7137190069961422,0.991694502293957,1.273144679089546,1.6669493563176891,1.6504272443098131,0.0361595416394955
136,2016,illinois_marshall,13.5222189872,0.8732086935123997,0.7937419949084514,0.2302164520863128,0.687204332105165,0.92970515153822,1.6343630074472528,1.8614112433179404,0.0167118149614503
178,2016,illinois_mason,12.4559957832,0.0996332484577857,-0.2501086852674365,-1.2693734204078253,-0.690894633873909,0.063101061557751,1.139482180833545,1.5251154354453174,0.5374343632652425
219,2016,illinois_mclean,13.6790165172,1.958376281950157,2.031365354467244,1.9098578702173896,2.391525303327241,2.813212580670387,3.478467219683543,3.633136675769165,0.008623655990266
260,2016,illinois_menard,13.1270892116,0.7592981959266277,0.6490866252808286,-0.7904029758147223,-0.4218187970262749,-0.0010253404011281,1.0035357763938144,1.176891772083503,0.0377975622992417
300,2016,illinois_peoria,13.4594999752,0.2791768104744895,0.0880015391169539,-0.6477496150416111,-0.15346815399816,0.1259869062680412,1.3416735932085542,1.7589501752722374,0.017475821124198
342,2016,illinois_stark,14.1556810084,0.7169213024331196,0.5901931192244675,-0.1562875447193805,0.1975904432269316,0.290298690690264,1.290937343678869,1.6580674660061023,0.0522758100712867
384,2016,illinois_tazewell,14.801686832,0.903904904905226,0.7926314869675496,0.0629220350935816,0.5619444205408964,1.1284860741933425,2.0864159883615603,2.37481265317683,0.1788251356405862
426,2016,illinois_woodford,14.600985993600002,0.9367168148319108,0.8531208047189524,-0.6655175800096977,0.0093593892565052,0.7196419618522911,1.7229365149858038,2.155517953141794,0.0023626153229041
468,2016,illinois_champaign,13.1835363224,1.4188924214154528,1.4549744883274247,1.247154126569985,1.52045598428245,1.800029201773453,2.462431786057406,2.6720239329333886,0.0319553685091221
510,2016,illinois_ford,12.794678448,1.8071381446823809,1.8319148025494163,1.508926566315281,1.924594167139348,2.289954442104524,3.145040427792821,3.4108009638399075,0.0062403484458523
552,2016,illinois_iroquois,12.1424007232,2.860491968837598,2.794239111953303,2.070748514247277,2.649382354289439,3.126425648322494,4.211474187326591,4.447011674158619,0.0143870447579519
594,2016,illinois_kankakee,12.261566846,1.95840478816354,1.910402135960088,0.985128542262012,1.437677034747378,1.9220680633217029,3.073359433203955,3.582284368564506,0.0612593535647474
635,2016,illinois_livingston,13.4657718764,1.530692264308421,1.544491721250236,1.381470057394731,2.111963322431538,2.5672847095314406,3.5314228872641027,3.908556826492253,0.0522758100712867
677,2016,illinois_piatt,13.7166479244,1.0731709676219778,1.1438902680273622,1.000921420332888,1.375229012167794,1.790152292527992,2.388355153880647,2.559076409087608,0.0522758100712867
719,2016,illinois_vermilion,12.7884065468,2.049957809818874,2.07890084177653,1.6463256354600189,1.9944956386782904,2.1567699991312894,2.667939759526108,2.8383284880031234,0.0023517215561677
798,2016,illinois_clay,9.6712716504,1.616540112450767,1.609942318643084,0.9480313493199768,1.2106365277214497,1.5639281422870552,2.257920760964726,2.475072622962547,0.0647288299207505
922,2016,illinois_cumberland,11.1890717408,1.254790760988839,1.3019135243420694,0.7270214782561432,1.3699884937075455,1.7189355996590558,2.385925485396895,2.503724514570473,0.0522758100712867
962,2016,illinois_douglas,13.0831859032,-0.5411757556344842,-0.296669229804035,-0.4189039289952397,0.1864202493704113,0.8253222694243765,1.4941067107735202,1.564950294313241,0.0522758100712867
1003,2016,illinois_edgar,12.129856920800002,0.3662991028328828,0.5963029870630558,0.8691457891755734,1.4223648833537783,1.5733045545285589,1.973476284891992,1.9732066348653845,0.0319872486997659
1044,2016,illinois_effingham,10.1730237464,2.1054729469873195,2.146035164481201,1.6085029162390163,2.1308194301487933,2.55914570334017,3.1756168821371147,3.3456529937760897,0.0039628721204251
1086,2016,illinois_fayette,10.223198956,1.6374137616269138,1.6672616439313253,1.1898903715240454,1.705516957055566,2.1198108979973727,2.654892821024917,2.8872694289184047,0.0522758100712867
1127,2016,illinois_jasper,10.367452683600002,1.4054532148209362,1.41902535161967,0.9288510020697516,1.6033953569529753,2.1119072452892595,2.816950177398532,3.0280360551816705,0.0522758100712867
1207,2016,illinois_marion,9.0817129376,1.3037465648045878,1.2980554107301423,0.8474173134782217,0.9641657457308752,1.317524128327559,2.130182835633857,2.524313207793788,0.0522758100712867
1249,2016,illinois_moultrie,13.0392825948,0.6832504925884002,0.7875192938578905,0.4223618924547987,0.5300184677634624,0.8801517561835944,1.4621551472417231,1.5564742584004527,0.0522758100712867
1291,2016,illinois_richland,9.219694764000002,1.28371430435814,1.265140621251135,0.1418150350175687,0.5157325393374387,0.9516217469294216,1.6641247056726591,1.851391857364652,0.0701806625455279
1331,2016,illinois_shelby,11.6469205284,1.1718836526605003,1.2221065353366445,0.9479624427554318,1.3789265757216873,1.7142717737185262,2.180097011399168,2.178854644305978,0.0312091382777889
1372,2016,illinois_boone,12.38700487,2.1537901764437577,2.124778717510838,1.3975503748914098,1.4409192815438503,1.534012353586104,1.5253983734751468,1.443618766240882,0.0853781474269859
1441,2016,illinois_de kalb,13.5222189872,1.4064051518343648,1.6134723757890093,1.906719454764368,2.126862184284702,2.2391976677928684,2.48958103602372,2.508828223942002,0.0049352906612153
1483,2016,illinois_grundy,13.3215181488,1.7150842797680432,1.775809602459529,1.696133817200114,2.2856955513421826,2.742247214423936,3.577726151739092,3.820868081900029,0.0428998325931751
1525,2016,illinois_kane,13.2211677296,2.051961980127218,2.233908888854929,2.4161838034703145,2.4659393420116227,2.549718480141326,2.5173439460101465,2.356317716199699,0.0522758100712867
1565,2016,illinois_kendall,12.9702916816,1.55012118691708,1.679845250650204,1.7677773414332356,2.221420297930194,2.5447766921020207,3.056761817809033,3.119712893900413,0.0522758100712867
1607,2016,illinois_la salle,12.8950288672,1.5979510320937675,1.60837398104096,1.7311898230716332,2.27215009257029,2.624028317593588,3.357160166386354,3.5235184197421265,0.0195134552969771
1645,2016,illinois_lake,9.7089030576,1.1362500190734866,1.159166693687439,-0.0350000038743019,-0.9499999781449636,-1.2049999833106997,-1.2033333381017048,-1.1616666515668232,0.0183990694723485
1685,2016,illinois_mchenry,12.5312585976,1.7875111286053966,1.7949347725551676,1.2086710795678115,1.0466643217369962,0.9668276297155218,0.7768794627840773,0.5252219780421443,0.0543663002086874
1765,2016,illinois_bureau,12.7884065468,0.7975395522281774,0.8345657754961833,0.872074599199294,1.2878704674248818,1.5110633484996034,2.3724193648552703,2.610161820792385,0.039393059989221
