Year,sta_con,irrigated maize area,maize area,PIC
2003,california_colusa,3681.0,3681.0,1.0
2003,california_glenn,13097.0,13097.0,1.0
2003,california_sacramento,29497.0,29509.0,0.9995933444034023
2003,california_solano,6717.0,6787.0,0.9896861647266834
2003,california_sutter,6212.0,6212.0,1.0
2003,california_tehama,1199.0,1199.0,1.0
2003,california_yolo,19598.0,19628.0,0.9984715712247809
2003,california_yuba,817.0,817.0,1.0
2003,california_fresno,5223.0,5223.0,1.0
2003,california_kern,1696.0,1696.0,1.0
2003,california_kings,3732.0,3732.0,1.0
2003,california_madera,5657.0,5657.0,1.0
2003,california_merced,9142.0,9142.0,1.0
2003,california_san joaquin,52698.0,52748.0,0.9990520967619625
2003,california_stanislaus,1747.0,1747.0,1.0
2003,california_tulare,3219.0,3219.0,1.0
2003,california_amador,6772.613970588235,520.0,1.0
2003,california_shasta,60.0,60.0,1.0
2003,california_imperial,569.0,569.0,1.0
2003,california_riverside,349.0,349.0,1.0
2003,california_santa barbara,15.0,15.0,1.0
2003,california_ventura,6772.613970588235,6352.613475177305,1.0
2003,colorado_adams,4743.0,4956.0,0.9570217917675545
2003,colorado_arapahoe,96.0,353.0,0.2719546742209632
2003,colorado_cheyenne,16440.0,17338.0,0.9482062521628792
2003,colorado_kiowa,892.6666666666666,1440.0,0.6199074074074074
2003,colorado_kit carson,83790.0,91244.0,0.9183069571697865
2003,colorado_lincoln,3326.0,5828.0,0.5706932052161977
2003,colorado_phillips,65772.0,88038.0,0.7470864853813126
2003,colorado_washington,19290.0,24146.0,0.7988900853143378
2003,colorado_yuma,174964.0,185692.0,0.9422269133834522
2003,colorado_boulder,2492.0,2652.0,0.9396681749622926
2003,colorado_larimer,6784.0,7562.0,0.8971171647712245
2003,colorado_logan,43115.0,50047.0,0.8614901992127401
2003,colorado_morgan,64626.0,65054.0,0.9934208503704615
2003,colorado_sedgwick,26407.0,33739.0,0.7826847268739441
2003,colorado_weld,71778.0,74904.0,0.9582665812239667
2003,colorado_baca,22099.0,25793.0,0.8567828480595511
2003,colorado_bent,1340.0,1340.0,1.0
2003,colorado_crowley,121.0,185.0,0.654054054054054
2003,colorado_otero,4088.0,4088.0,1.0
2003,colorado_prowers,8014.0,8334.0,0.9616030717542596
2003,colorado_pueblo,2181.0,2246.0,0.9710596616206589
2003,colorado_delta,2871.0,2887.0,0.9944579147904399
2003,colorado_dolores,23928.620567375885,34132.43310657596,0.7010522951194414
2003,colorado_la plata,295.3333333333333,323.3333333333333,0.9134020618556701
2003,colorado_mesa,2899.0,2915.0,0.9945111492281303
2003,colorado_montrose,6172.0,6172.0,1.0
2003,connecticut_hartford,0.0,552.0,0.0
2003,connecticut_new london,0.0,721.5,0.0
2003,connecticut_tolland,0.0,268.0,0.0
2003,delaware_kent,7671.0,43548.0,0.1761504546707082
2003,delaware_new castle,560.0,17456.0,0.032080659945004586
2003,delaware_sussex,35516.0,100417.0,0.35368513299540916
2003,florida_alachua,1396.0,777.0,1.0
2003,florida_clay,7.0,297.5,0.023529411764705882
2003,florida_gilchrist,750.0197132616488,219.0,1.0
2003,florida_hillsborough,34.5,108.0,0.3194444444444444
2003,florida_lake,750.0197132616488,53.0,1.0
2003,florida_levy,320.0,483.0,0.6625258799171843
2003,florida_marion,750.0197132616488,88.0,1.0
2003,florida_osceola,750.0197132616488,1132.4784644194756,0.6622816564075852
2003,florida_putnam,750.0197132616488,1132.4784644194756,0.6622816564075852
2003,florida_st. johns,1665.5,1057.0,1.0
2003,florida_union,750.0197132616488,60.0,1.0
2003,florida_columbia,990.6666666666666,137.0,1.0
2003,florida_duval,750.0197132616488,31.0,1.0
