Year,sta_con,irrigated cropland area,cropland area,PIC
2003,arkansas_garland,109.33333333333331,7037.666666666667,0.015535452091128684
2003,arkansas_grant,131.66666666666666,122842.1026234568,0.0010718366411413475
2003,arkansas_hot spring,261.5,129708.3526234568,0.0020160613770119663
2003,arkansas_perry,5795.5,27145.0,0.21350156566586848
2003,arkansas_pulaski,22195.0,61422.0,0.36135260981407313
2003,arkansas_saline,229.5,27915.847530864194,0.008221136748445887
2003,arkansas_arkansas,278228.0,322267.0,0.8633462315409273
2003,arkansas_crittenden,136844.0,285421.0,0.47944615147448855
2003,arkansas_cross,218535.0,276802.0,0.789499353328372
2003,arkansas_lee,141580.0,252325.0,0.5611017536906767
2003,arkansas_lonoke,211269.75,258048.0,0.8187226795014881
2003,arkansas_monroe,179636.0,199079.0,0.9023352538439514
2003,arkansas_phillips,202595.5,303759.0,0.6669613081423101
2003,arkansas_prairie,177175.0,227766.0,0.7778816855895964
2003,arkansas_saint francis,147932.0,230046.0,0.643053997896073
2003,arkansas_woodruff,177643.33333333334,230959.0,0.7691552757560145
2003,arkansas_baxter,56.0,12076.0,0.004637297118251077
2003,arkansas_cleburne,449.5,33606.0,0.013375587692673926
2003,arkansas_fulton,63.0,137245.8526234568,0.000459030264272136
2003,arkansas_izard,150.0,35022.847530864194,0.004282918453955269
2003,arkansas_marion,352.0,128837.3526234568,0.002732126924625375
2003,arkansas_searcy,106.0,20517.0,0.005166447336355217
2003,arkansas_sharp,122.5,134248.1026234568,0.000912489618893101
2003,arkansas_stone,96.0,22262.0,0.004312281016979606
2003,arkansas_van buren,280.0,24085.0,0.011625493045463982
2003,arkansas_clay,206780.0,282610.0,0.7316796999398464
2003,arkansas_craighead,250957.0,304687.0,0.8236550952288743
2003,arkansas_greene,129376.0,195394.0,0.6621288268831182
2003,arkansas_independence,19253.0,86789.0,0.22183686872760372
2003,arkansas_jackson,57631.80962059621,270727.0,0.2128779531431893
2003,arkansas_lawrence,130616.5,194842.0,0.6703713778343479
2003,arkansas_mississippi,230281.0,446167.0,0.516131851974709
2003,arkansas_poinsett,289927.0,346899.0,0.8357677594919559
2003,arkansas_randolph,50722.0,105014.0,0.48300226636448473
2003,arkansas_white,43619.66666666666,139913.0,0.31176278592172746
2003,arkansas_benton,667.0,79553.0,0.008384347541890312
2003,arkansas_boone,196.66666666666663,37807.666666666664,0.005201766837413927
2003,arkansas_carroll,263.0,47752.0,0.005507622717373094
2003,arkansas_madison,575.0,52596.0,0.010932390295839988
2003,arkansas_newton,25.0,13597.0,0.00183864087666397
2003,arkansas_washington,1118.0,85908.0,0.013013921869907344
2003,arkansas_bradley,716.0,22303.18086419753,0.03210304415140032
2003,arkansas_calhoun,94.0,3821.0,0.024600889819419
2003,arkansas_clark,503.0,20813.0,0.024167587565463892
2003,arkansas_cleveland,13.0,22451.847530864194,0.0005790169375651206
2003,arkansas_columbia,55.0,24641.347530864194,0.0022320207907100243
2003,arkansas_dallas,3.0,3815.1666666666665,0.0007863352409243808
2003,arkansas_nevada,63.66666666666666,130555.3526234568,0.0004876603324743938
2003,arkansas_ouachita,18.0,5077.0,0.003545400827260193
2003,arkansas_union,30.33333333333333,6111.0,0.004963726613211148
