Year,sta_con,irrigated soybean area,soybean area,PIC
2003,georgia_warren,721.3152654867257,2334.9570105820108,0.30892014808740775
2003,georgia_hart,650.0,3242.0,0.20049352251696484
2003,georgia_bartow,721.3152654867257,2271.0,0.3176201080963125
2003,georgia_gordon,660.0,6154.0,0.10724731881702958
2003,georgia_atkinson,160.0,690.0,0.2318840579710145
2003,georgia_ben hill,721.3152654867257,541.6666666666666,1.0
2003,georgia_brooks,198.0,1212.0,0.16336633663366337
2003,georgia_colquitt,161.5,825.0,0.19575757575757577
2003,georgia_cook,132.0,113.0,1.0
2003,georgia_crisp,503.0,726.0,0.6928374655647382
2003,georgia_dooly,667.0,2543.0,0.26228863546991743
2003,georgia_echols,721.3152654867257,2334.9570105820108,0.30892014808740775
2003,georgia_irwin,175.0,979.0,0.1787538304392237
2003,georgia_lowndes,290.0,1174.0,0.24701873935264054
2003,georgia_tift,51.0,156.0,0.3269230769230769
2003,georgia_turner,90.0,179.0,0.5027932960893855
2003,georgia_wilcox,195.0,953.75,0.20445609436435125
2003,georgia_appling,721.3152654867257,3382.0,0.2132806816932956
2003,georgia_bryan,721.3152654867257,793.0,0.9096031090627058
2003,georgia_evans,166.0,1062.0,0.15630885122410546
2003,georgia_pierce,524.0,2211.0,0.2369968340117594
2003,georgia_tattnall,1224.0,8263.0,0.14813021904877163
2003,georgia_toombs,523.0,3024.0,0.17294973544973544
2003,georgia_baker,588.0,640.0,0.91875
2003,georgia_decatur,2012.3333333333333,4262.0,0.47215704676990455
2003,georgia_dougherty,721.3152654867257,283.0,1.0
2003,georgia_early,351.0,1406.0,0.2496443812233286
2003,georgia_mitchell,837.0,2075.0,0.4033734939759036
2003,georgia_randolph,1068.0,2477.0,0.4311667339523617
2003,georgia_seminole,392.0,927.0,0.4228694714131607
2003,georgia_sumter,155.0,1869.0,0.08293204922418405
2003,georgia_terrell,1232.0,3240.0,0.3802469135802469
2003,georgia_thomas,246.0,1494.0,0.1646586345381526
2003,georgia_webster,310.0,647.0,0.47913446676970634
2003,georgia_macon,1335.75,1656.0,0.8066123188405797
2003,georgia_pike,721.3152654867257,216.0,1.0
