sta_con,Longitude,Latitude
arkansas_lee,-90.78328362,34.78002434
arkansas_lincoln,-91.73407717,33.95731563
arkansas_little river,-94.23471192,33.70070768
arkansas_logan,-93.71737245,35.21546659
arkansas_lonoke,-91.88842879,34.75502476
arkansas_madison,-93.72474248,36.01100163
arkansas_marion,-92.68491844,36.26785715
arkansas_miller,-93.89198522,33.31182151
arkansas_mississippi,-90.05272182,35.76375615
arkansas_monroe,-91.20373273,34.67835479
arkansas_montgomery,-93.65960862,34.53879638
arkansas_nevada,-93.30787239,33.66452278
arkansas_newton,-93.21798151,35.9199802
arkansas_ouachita,-92.88314638,33.59242315
arkansas_perry,-92.9317297,34.94651014
arkansas_phillips,-90.84880306,34.42765777
arkansas_pike,-93.65682876,34.16318424
arkansas_poinsett,-90.66156599,35.57401349
arkansas_polk,-94.22957991,34.48582253
arkansas_pope,-93.03414992,35.44783884
arkansas_prairie,-91.55186239,34.82939917
arkansas_pulaski,-92.31192871,34.76975555
arkansas_randolph,-91.02733371,36.34134783
arkansas_saint francis,-90.74760987,35.02187827
arkansas_saline,-92.67659777,34.64618732
arkansas_scott,-94.062762,34.86066321
arkansas_searcy,-92.69984162,35.91093471
arkansas_sebastian,-94.27369537,35.1992526
arkansas_sevier,-94.24150092,33.99693095
arkansas_sharp,-91.481078,36.1608829
arkansas_stone,-92.15718845,35.85914055
arkansas_union,-92.59714977,33.17142675
arkansas_van buren,-92.51545927,35.58094667
arkansas_washington,-94.21460984,35.97979898
arkansas_white,-91.74501418,35.2564268
arkansas_woodruff,-91.24243663,35.18605144
arkansas_yell,-93.41161183,35.00358269
california_alameda,-121.8871689,37.64660317
california_alpine,-119.8204783,38.59877297
california_amador,-120.6463344,38.44686343
california_butte,-121.5997936,39.66718114
california_calaveras,-120.5519604,38.20473349
california_colusa,-122.2364861,39.17799523
california_contra costa,-121.9256168,37.91713605
california_del norte,-123.8967215,41.74332378
california_el dorado,-120.525274,38.77899085
california_fresno,-119.6514621,36.75825756
california_glenn,-122.3905817,39.59932162
california_humboldt,-123.8735792,40.69943915
california_imperial,-115.3636751,33.04031085
california_inyo,-117.4119845,36.51140392
california_kern,-118.7322647,35.34244323
california_kings,-119.8162382,36.07467094
california_lake,-122.75339,39.10086237
california_lassen,-120.5949156,40.67377183
california_los angeles,-118.2266806,34.32182297
california_madera,-119.7635058,37.2177504
california_marin,-122.7182086,38.07202874
california_mariposa,-119.9058187,37.58143752
california_mendocino,-123.3915095,39.44099917
california_merced,-120.7182173,37.19294944
california_modoc,-120.7249614,41.59084492
california_mono,-118.8876529,37.93952823
california_monterey,-121.2396235,36.21747682
california_napa,-122.3299177,38.50738873
california_nevada,-120.7656884,39.30191223
